id, name
0, Темир жол вокзалы
1, Политехника колледжи
2, Туран кафеси
3, 27-мектеп (Гагарин)
4, Саўда орайы
5, Светлана дүканы
6, ДСК
7, Әдиллик министрлиги
8, 108-бурылма
9, Гүлназ дүканы
10, ЮМС (МТС)
11, Орайлық базар
12, 3-поликлиника
13, Балалар поликлиникасы
14, 5-мектеп (Гоголь)
15, Олимпия резервлери колледжи
16, Арқа автостанция
17, Узынкөл бөлими
18, 28-мектеп
19, Автожолшылар қалашасы
20, 40-мектеп
21, АЖМҚШ (Таслақ елаты)
22, Орақ балға
23, Хожан аўыл
24, Прогресс мектеби
25, Шар базар
26, 22-киши район
27, 21-киши район
28, Авто мектеп
29, Гөне қала
30, Орайлық туўыў үйи
31, ХАТП-16
32, Экспедиция
33, Жийдели байсын орайы
34, Жийдели байсын елаты
35, Улуғбек көшеси
36, Әжинияз көшеси
37, Севинч кафеси
38, Арқа автовокзал
39, Аэропорт
40, 9-мектеп (Терешкова)
41, 1-медицина колледжи
42, 61-квартал (Черемушки)
43, Пединститут (НМПИ)
44, Амфитеатр
45, Бажыхана
46, 2-академиялық лицей (ҚМУ)
47, Аквапарк
48, Қурылыс буйымлары базары
49, 8-колледж
50, Телеорай
51, Шадлы аўыл
52, Хожели гүзары
53, 20-мектеп
54, АМТШ (Гербиш заводы)
55, АЖМҚШ (Гербиш заводы)
56, Троя дүканы
57, Университет (ҚМУ)
58, Қ. Саипов көшеси
59, А. Темур көшеси
60, ТАТУ
61, Мәмлекетлик салық басқармасы
62, Бердақ кинотеатры
63, Теннис корты
64, Қызкеткен елаты
65, ГНС
66, ҚҚ Агротехника буйыртпа
67, МПЖ (Гербиш заводы)
68, Гербиш заводы
69, Граф рестораны
70, 13-автобаза
71, Арал дүканы
72, Медициналық лицей
73, 2-медицина колледжи
74, Мусаев көшеси
75, Жуқпалы кеселликлер емлеўханасы
76, Көк дүкан
77, Ҳүрлиман көшеси
78, Жийдели байсын 11-көше
79, Әмиўдәрья кинотеатры
80, 2-Республикалық емлеўхана
81, 1-Республикалық емлеўхана
82, Саманбай елаты
83, 10-поликлиника
84, Каттагар
85, У. Юсупов көшеси
86, Педагогика колледжи
87, Гидро колледжи
88, Аграр университети
89, 5-поликлиника
90, Бажыхана терминал
91, Алтын көл ПР-4
92, Мәденият колледжи
93, Ташкент мийманханасы
94, Мед. снаб.
95, ГУТАП
96, ПМК
97, Класс комбайн
98, Бахрам кафеси
99, 1-академиялық лицей (ҚМУ)
100, А. Арзиев көшеси
101, Башкуртстан көшеси
102, АЖМҚШ (Арқа автовокзал)
103, Т. Бердишукурова көшеси
104, Қызылқум көшеси
105, Таслақ елаты
106, Д. Каипов көшеси
107, Хожан аўыл (труба)
108, Бестөбе елаты
109, Қараметалл
110, Нөкис темир буйымлар заводы
111, ҚҚ көтере саўда орайы
112, А. Арзымов көшеси
113, 1-академиялық лицей (Пединститут)
114, Тогай хожалығы
115, 29-мектеп
116, Ақ жағыс елаты (Бухара көшеси)
117, Наркологиялық диспансер
118, Мед. санчасть
119, Мединститут
120, Экономика факультети (ҚМУ)
121, 2-поликлиника
122, Ургенчтрансгаз
123, Қ. Айымбетов көшеси
124, Хожан аўыл (киши айланба)
125, Қум аўыл
126, 4-мектеп (Киров)
127, Азық-аўқат дүканы (Т. Жумамуратов көшеси)
128, Капитал банк
129, Шахноза дүканы
130, Алланияз қаҳарман елаты
131, Спорт колледжи
132, Қурылыс колледжи
133, ККРЕСтрой автобаза
134, ККГлавснаб
135, Арбашы аўыл
136, ЖХКБ
137, Туберкулезға қарсы гүресиў емлеўханасы
138, Туркистан кинотеатры
139, Әскерий гарнизон
140, 60-дүкан
141, Түркстан кинотеатры
142, Алланияз қаҳарман МПЖ
143, Ж. Сапашов көшеси
144, 1-поликлиника
145, 32-мектеп (70-жыллық)
146, Жийдели байсын 1-көше
147, Жийдели байсын 18-көше
148, Саманбай елаты (Проектная көшеси)
149, АЖМҚШ (Ақманғыт гүзары)
150, Орайлық почта
151, Дослық гүзары
152, Өрт басқармасы
153, НЕО рестораны
154, Эндокринология диспансери
155, Әскерий прокуратура (Ж. Нарымбетов)
156, Наўқанбағ (А. Қайратдинов көшеси)
157, 23-киши район
158, 13-дәрихана
159, 1-монша
160, Манғыт шайханасы
161, Архторус
162, Ucell офиси
163, Т. Жумамуратов көшеси
164, Дослық базары
165, Беруний көшеси
166, Арақ шарап саўда орайы
167, Қоскөл-2 3-көше
168, Қоскөл-2
169, Нөкис транспорт колледжи
170, Муқимий көшеси
171, Жеке терек
172, Қан қуйыў орайы
173, Д. Якубов көшеси
174, Ферма аўыл
175, Орайлық банк
176, Ақманғыт гүзары
177, Саманбай (котельный)
178, Балалар емлеўханасы
179, АРС кафеси
180, Орайлық автовокзал
181, Нөкис саўда комплекс
182, Кебир аўыл
183, Кебир аўыл (У. Юсупов көшеси)
184, Саманбай елаты (Мақпалкөл)
185, Байтерек
186, П. Нурпеисов көшеси
187, Кардиодиспансер
188, Халықлар бирлиги көшеси
189, 13-мектеп
190, Санатория көшеси
191, Аксунгул кафеси
192, Түйемойын (водоканал)
193, Алланияз қаҳарман
194, Мухаммедова көшеси
195, Май колхоз (ферма аўыл)
196, М. Дәрибаев көшеси
197, Даўыткөл көшеси
198, Саманбай елаты (котельный)
199, Сарыбай шайыр көшеси
200, Алланияз қаҳарман (Транспартнер автобаза)
201, Қалалық емлеўхана
202, Ақ жағыс елаты
203, Шарап саўда (Ақ жағыс)
204, Ақ жағыс
205, Убайдуллаев көшеси
206, Наўқанбағ елаты
207, Ж. Аймурзаев көшеси
208, 6-поликлиника
209, Жулдызша балалар дем алыў орны
210, КК толаси
211, Тубдиспансер
212, К. Мамбетов көшеси
213, Қум аўыл елаты (С. Пиржанов)
214, 3-академиялық лицей (ҚМУ)
215, Сельхоз колледжи
216, Адай аўыл
217, Қоскөл-3 1-көше
218, Қоскөл-3 СПМК-260
219, Узынкөл бөлими (Намуналы жайлар)
220, Саманбай елаты (Шорахан)
221, Водоканал 7-көше
222, Ақманғыт гүзары ЖХКБ посты
223, Каттагар аўыллық шыпакерлер пункти
224, Х. Режепов көшеси
225, Жуўазшы елаты
226, Әжинияз мектеби
227, Боз аўыл (6-көше)
228, ПЭМК-1 электромонтаж
229, Маткаримов көшеси (1-автобаза)
230, М. Нызамов көшеси
231, 24-мектеп
232, Космос лагери
233, ИИМ профилактика орайы
234, 2-Республикалық туберкулезға қарсы гүресиў емлеўханасы
235, Таслақ елаты (мал базар)
236, Аралбаев көшеси
237, Сахыпқыран көшеси
238, Каттагар канал жағасы
239, Жипек жолы дүканы
240, Мрамор заводы
241, Суўақаба (Водоканал)
242, АСГКШ
