ID,isBus,displayNo,PointA,PointB,PointC
1,TRUE,1,Темир Жол Вокзалы,Таслақ елаты,
2,TRUE,3,Темир Жол Вокзалы,Жийдели байсын елаты,
3,TRUE,4,Таслақ елаты (АЖМКШ),Телеорай,
4,TRUE,5,Қызкеткен елаты,Таслақ елаты,
5,TRUE,7,Таслақ елаты (мал базар),Қызкеткен елаты,
6,TRUE,8,Жийдели байсын елаты,Темир Жол Вокзалы,
7,TRUE,10,Қызкеткен елаты,Саманбай елаты,
8,TRUE,11,Гөне қала,Қызкеткен елаты,
9,TRUE,12,Ақ жағыс (Бухара көшеси),Қызкеткен елаты (Шадлы аўыл),
10,TRUE,15,Таслақ елаты,Орайлық базар,Темир Жол Вокзалы
11,TRUE,16,Орайлық базар,Бестөбе,
12,FALSE,1,Темир Жол Вокзалы,Таслақ елаты,
13,FALSE,2,Темир Жол Вокзалы,Каттагар,Бухара көшеси
14,FALSE,3,Темир Жол Вокзалы,Ургенчтрансгаз,
15,FALSE,4,Темир Жол Вокзалы,Хожан аўыл,
16,FALSE,5,Орайлық базар,Гөне қала,
17,FALSE,6,Орайлық базар,Таслақ елаты (киши айланба жол),
18,FALSE,7,Орайлық базар,Қум аўыл,
19,FALSE,8,Алланияз Қаҳарман елаты,Орайлық туўыў үйи,
20,FALSE,9,Орайлық базар,Телеорай,
21,FALSE,10,Темир Жол Вокзалы,Саманбай елаты,
22,FALSE,11,Темир Жол Вокзалы,Жийдели байсын елаты,
23,FALSE,12,Орайлық базар,Қызкеткен елаты (Шадлы аўыл),
24,FALSE,13,Орайлық базар,Темир Жол Вокзалы,
25,FALSE,14,Орайлық базар,Темир Жол Вокзалы,
26,FALSE,15,Әскерий гарнизон,Таслақ елаты,
27,FALSE,16,Темир Жол Вокзалы,Алланияз Қаҳарман елаты,
28,FALSE,17,Орайлық базар,Таслақ елаты,
29,FALSE,18,Орайлық базар,Алланияз Қаҳарман елаты,
30,FALSE,19,Гөне қала,Әскерий гарнизон,
31,FALSE,20,Хожан аўыл,Жийдели байсын елаты,
32,FALSE,21,Орайлық базар,Қызкеткен елаты,
33,FALSE,22,Жуқпалы кеселликлер емлеўханасы,Саманбай елаты (Проектная көшеси),
34,FALSE,23,Орайлық базар,Әскерий гарнизон,
35,FALSE,24,Орайлық базар,Әскерий прокуратура (Ж. Нарымбетов),
36,FALSE,25,Орайлық базар,Арбашы аўыл,
37,FALSE,26,Орайлық базар,Темир Жол Вокзалы,
38,FALSE,27,Темир Жол Вокзалы,Ургенчтрансгаз,
39,FALSE,28,Орайлық базар,Қоскөл-2 елаты,
40,FALSE,29,Орайлық базар,Жеке терек,
41,FALSE,30,Орайлық базар,Таслақ елаты,
42,FALSE,31,Темир Жол Вокзалы,Орайлық туўыў үйи,
43,FALSE,32,Орайлық базар,Ферма аўыл,
44,FALSE,33,Темир Жол Вокзалы,Саманбай елаты,
45,FALSE,34,Орайлық базар,Орайлық автовокзал,Қоскөл-3 (СПМК-260)
46,FALSE,35,Жийдели байсын елаты,Әскерий гарнизон,
47,FALSE,36,Орайлық базар,Кебир аўыл,
48,FALSE,37,Саманбай елаты,Темир Жол Вокзалы,
49,FALSE,38,Орайлық базар,Қызкеткен елаты (Санаторная көшеси),
50,FALSE,39,Орайлық базар,Гөне қала,Таза намуналы жайлар
51,FALSE,40,Орайлық базар,Жеке терек,
52,FALSE,41,Орайлық базар,Темир Жол Вокзалы,Әскерий гарнизон
53,FALSE,42,Аксунгул кафеси,Қурылыс буйымлары базары,
54,FALSE,43,Орайлық базар,Таслақ елаты (айланба жолы),
55,FALSE,44,Орайлық базар,Май колхоз,
56,FALSE,45,Орайлық базар,Саманбай елаты (Проектная көшеси),
57,FALSE,46,Әскерий гарнизон,Саманбай елаты,
58,FALSE,47,Орайлық базар,Жийдели байсын елаты,
59,FALSE,48,Темир Жол Вокзалы,Алланияз Қаҳарман елаты (Арбашы аўыл),
60,FALSE,49,Орайлық базар,Ақ жағыс елаты (Қарақалпақ көшеси),
61,FALSE,50,Таслақ елаты,Орайлық базар,Гөне қала
62,FALSE,51,Орайлық базар,Науканбағ елаты,
63,FALSE,52,Орайлық базар,Таслақ елаты,Жулдызша балалар дем алыў орны
64,FALSE,53,Орайлық базар,Жуўазшы елаты,
65,FALSE,54,Орайлық базар,1-санлы Республикалық емлеўхана,
66,FALSE,55,Орайлық базар,Қум аўыл,
67,FALSE,56,Темир Жол Вокзалы,Алланияз Қаҳарман елаты (Арбашы аўыл),
68,FALSE,57,Орайлық базар,Таслақ елаты,
69,FALSE,59,Орайлық базар,Әскерий гарнизон,
70,FALSE,60,Орайлық базар,Жуқпалы кеселликлер емлеўханасы,
71,FALSE,61,Орайлық базар,Адай аўыл,
72,FALSE,62,Орайлық базар,Қоскөл-3,
73,FALSE,63,Жийдели байсын елаты,Орайлық базар,23-киши район
74,FALSE,64,Орайлық базар,Узынкөл елаты (Намуналы жайлар),
75,FALSE,65,Орайлық базар,Саманбай елаты,
76,FALSE,66,Орайлық базар,Каттагар АПЖ,
77,FALSE,67,Орайлық базар,Темир Жол Вокзалы,
78,FALSE,68,Орайлық базар,Жуўазшы елаты,
79,FALSE,70,Ургенчтрансгаз (Труба көпири),Республикалық туўыў үйи,
80,FALSE,71,Орайлық базар,Әжинияз мектеби,
81,FALSE,72,Орайлық базар,Боз аўыл елаты,
82,FALSE,74,Жуқпалы кеселликлер емлеўханасы,Маткаримов көшеси,
83,FALSE,75,Орайлық базар,Хожан аўыл,
84,FALSE,78,Таслақ елаты,Қурылыс буйымлары базары,Жуўазшы елаты
85,FALSE,80,Орайлық базар,М. Дәрибаев көшеси,
86,FALSE,81,Түйемойын,Әскерий гарнизон,
87,FALSE,82,Темир Жол Вокзалы,Каттагар,Бухара көшеси
88,FALSE,83,Қызкеткен елаты,Хожан аўыл (киши айланба жолы),
89,FALSE,85,Ақ жағыс елаты,Әскерий гарнизон,
90,FALSE,87,Жулдызша балалар дем алыў орны,Темир Жол Вокзалы,
91,FALSE,88,Орайлық автовокзал,Темир Жол Вокзалы,Таслақ елаты (АЖМКШ)
92,FALSE,89,Саманбай елаты,Алланияз Қаҳарман елаты,
93,FALSE,90,Орайлық базар,Алланияз Қаҳарман елаты,Орайлық базар
94,FALSE,91,Орайлық базар,Хожан аўыл,
95,FALSE,92,Боз аўыл (6-көше),ҚМУ жанындағы N3 Академиялық лицей,
